feature,importance
0_pre-RR,0.06852317068938073
0_post-RR,0.04337673254145445
0_pPeak,0.022789420077488104
0_tPeak,0.019587687760552253
0_rPeak,0.044649613836267796
0_sPeak,0.05229819300524343
0_qPeak,0.024500175327728697
0_qrs_interval,0.02243085798824566
0_pq_interval,0.01490020880220599
0_qt_interval,0.017224710452367672
0_st_interval,0.03765509856726606
0_qrs_morph0,0.025544473950637015
0_qrs_morph1,0.02089746231553759
0_qrs_morph2,0.01660771753442632
0_qrs_morph3,0.019560490040772958
0_qrs_morph4,0.03980785857317672
1_pre-RR,0.07551814984859859
1_post-RR,0.04554244846648926
1_pPeak,0.02224262297200081
1_tPeak,0.021138222544871216
1_rPeak,0.033612810296695966
1_sPeak,0.034942598701428115
1_qPeak,0.02470955178701107
1_qrs_interval,0.023378348503601928
1_pq_interval,0.012835189396904692
1_qt_interval,0.027315531011729444
1_st_interval,0.044217032060982056
1_qrs_morph0,0.02068552322847026
1_qrs_morph1,0.029408112407768517
1_qrs_morph2,0.022176277778006775
1_qrs_morph3,0.03346686249640729
1_qrs_morph4,0.03845684703628259
